segmentnr	original	folio	analyzed
PA_pv_12:0.1	Petavatthu	0	
PA_pv_12:0.2	Uragavagga	0	
PA_pv_12:0.3	12. Uragapetavatthu	0	
PA_pv_12:1.1	“Uragova tacaṁ jiṇṇaṁ,	1	
PA_pv_12:1.2	hitvā gacchati saṁ tanuṁ;	1	
PA_pv_12:1.3	Evaṁ sarīre nibbhoge,	1	
PA_pv_12:1.4	pete kālaṅkate sati.	1	
PA_pv_12:2.1	Ḍayhamāno na jānāti,	2	
PA_pv_12:2.2	ñātīnaṁ paridevitaṁ;	2	
PA_pv_12:2.3	Tasmā etaṁ na rodāmi,	2	
PA_pv_12:2.4	gato so tassa yā gati”.	2	
PA_pv_12:3.1	“Anabbhito tato āgā,	3	
PA_pv_12:3.2	nānuññāto ito gato;	3	
PA_pv_12:3.3	Yathāgato tathā gato,	3	
PA_pv_12:3.4	tattha kā paridevanā.	3	
PA_pv_12:4.1	Ḍayhamāno na jānāti,	4	
PA_pv_12:4.2	ñātīnaṁ paridevitaṁ;	4	
PA_pv_12:4.3	Tasmā etaṁ na rodāmi,	4	
PA_pv_12:4.4	gato so tassa yā gati”.	4	
PA_pv_12:5.1	“Sace rode kisā assaṁ,	5	
PA_pv_12:5.2	tattha me kiṁ phalaṁ siyā;	5	
PA_pv_12:5.3	Ñātimittasuhajjānaṁ,	5	
PA_pv_12:5.4	bhiyyo no aratī siyā.	5	
PA_pv_12:6.1	Ḍayhamāno na jānāti,	6	
PA_pv_12:6.2	ñātīnaṁ paridevitaṁ;	6	
PA_pv_12:6.3	Tasmā etaṁ na rodāmi,	6	
PA_pv_12:6.4	gato so tassa yā gati”.	6	
PA_pv_12:7.1	“Yathāpi dārako candaṁ,	7	
PA_pv_12:7.2	gacchantamanurodati;	7	
PA_pv_12:7.3	Evaṁ sampadamevetaṁ,	7	
PA_pv_12:7.4	yo petamanusocati.	7	
PA_pv_12:8.1	Ḍayhamāno na jānāti,	8	
PA_pv_12:8.2	ñātīnaṁ paridevitaṁ;	8	
PA_pv_12:8.3	Tasmā etaṁ na rodāmi,	8	
PA_pv_12:8.4	gato so tassa yā gati”.	8	
PA_pv_12:9.1	“Yathāpi brahme udakumbho,	9	
PA_pv_12:9.2	bhinno appaṭisandhiyo;	9	
PA_pv_12:9.3	Evaṁ sampadamevetaṁ,	9	
PA_pv_12:9.4	yo petamanusocati.	9	
PA_pv_12:10.1	Ḍayhamāno na jānāti,	10	
PA_pv_12:10.2	ñātīnaṁ paridevitaṁ;	10	
PA_pv_12:10.3	Tasmā etaṁ na rodāmi,	10	
PA_pv_12:10.4	gato so tassa yā gatī”ti.	10	
PA_pv_12:11.1	Uragapetavatthu dvādasamaṁ.	11	
PA_pv_12:12.1	Uragavaggo paṭhamo.	12	
PA_pv_12:13.1	Tassuddānaṁ	13	
PA_pv_12:14.1	Khettañca sūkaraṁ pūti,	14	
PA_pv_12:14.2	piṭṭhaṁ cāpi tirokuṭṭaṁ;	14	
PA_pv_12:14.3	Pañcāpi sattaputtañca,	14	
PA_pv_12:14.4	goṇaṁ pesakārakañca;	14	
PA_pv_12:14.5	Tathā khallāṭiyaṁ nāgaṁ,	14	
PA_pv_12:14.6	dvādasaṁ uragañcevāti.	14	
