segmentnr	original	analyzed
PA_pli-tv-pvr_2.1:0.1	Parivāra	▁parivār a
PA_pli-tv-pvr_2.1:0.2	Bhikkhunivibhaṅga	▁bhikkhu ni vibhaṃg a
PA_pli-tv-pvr_2.1:0.3	Paṭhamabhāga	▁paṭhama bhāg a
PA_pli-tv-pvr_2.1:0.4	2.1 Katthapaññattivāra	▁kattha paññatti vā ra
PA_pli-tv-pvr_2.1:0.5	1. Pārājikakaṇḍa	▁pārājik akaṇḍ a
PA_pli-tv-pvr_2.1:1.1	Yaṁ tena bhagavatā jānatā passatā arahatā sammāsambuddhena bhikkhunīnaṁ pañcamaṁ pārājikaṁ kattha paññattaṁ?	▁yaṃ ▁tena ▁bhagavatā ▁jān atā ▁pass atā ▁araha tā ▁sammāsambuddh ena ▁bhikkhunī naṃ ▁pañcam aṃ ▁pārājik aṃ ▁kattha ▁paññattaṃ
PA_pli-tv-pvr_2.1:1.2	Kaṁ ārabbha?	▁ kaṃ ▁ārabbha
PA_pli-tv-pvr_2.1:1.3	Kismiṁ vatthusmiṁ?	▁kismiṃ ▁vatthusmiṃ
PA_pli-tv-pvr_2.1:1.4	Atthi tattha paññatti, anupaññatti, anuppannapaññatti?	▁atthi ▁tattha ▁paññatti ▁anu paññatti ▁anuppann a paññatti
PA_pli-tv-pvr_2.1:1.5	Sabbatthapaññatti, padesapaññatti?	▁sabbattha paññatti ▁ pades a paññatti
PA_pli-tv-pvr_2.1:1.6	Sādhāraṇapaññatti, asādhāraṇapaññatti?	▁ sādhāraṇ a paññatti ▁a sādhāraṇ a paññatti
PA_pli-tv-pvr_2.1:1.7	Ekatopaññatti, ubhatopaññatti?	▁ekato paññatti ▁ubhato paññatti
PA_pli-tv-pvr_2.1:1.8	Catunnaṁ pātimokkhuddesānaṁ katthogadhaṁ kattha pariyāpannaṁ?	▁catunnaṃ ▁pātimokkh uddes ānaṃ ▁k attho gad haṃ ▁kattha ▁ pariyāpann aṃ
PA_pli-tv-pvr_2.1:1.9	Katamena uddesena uddesaṁ āgacchati?	▁katame na ▁uddes ena ▁uddes aṃ ▁āgaccha ti
