segmentnr	original	analyzed
PA_pli-tv-bu-vb_pj3:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bu-vb_pj3:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_pli-tv-bu-vb_pj3:0.3	Pārājikakaṇḍa	▁pārājik akaṇḍ a
PA_pli-tv-bu-vb_pj3:0.4	3. Tatiyapārājikasikkhāpada	▁tatiy a pārājik asikkhāpad a
PA_pli-tv-bu-vb_pj3:1.1.1	Tena samayena buddho bhagavā vesāliyaṁ viharati mahāvane kūṭāgārasālāyaṁ.	▁tena ▁samayena ▁buddho ▁bhagavā ▁vesāli yaṃ ▁viharati ▁mahā vane ▁ kūṭ ā gār asālā yaṃ
PA_pli-tv-bu-vb_pj3:1.1.2_0	Tena kho pana samayena bhagavā bhikkhūnaṁ anekapariyāyena asubhakathaṁ katheti, asubhāya	▁tena ▁kho ▁pana ▁samayena ▁bhagavā ▁bhikkhūnaṃ ▁aneka pariyāy ena ▁asubh akathaṃ ▁kath eti ▁asubh āya
PA_pli-tv-bu-vb_pj3:1.1.2_1	vaṇṇaṁ bhāsati, asubhabhāvanāya vaṇṇaṁ bhāsati, ādissa ādissa asubhasamāpattiyā vaṇṇaṁ bhāsati.	▁vaṇṇ aṃ ▁bhāsa ti ▁asubh a bhāvanā ya ▁vaṇṇ aṃ ▁bhāsa ti ▁ādi ssa ▁ādi ssa ▁asubh asamāpatti yā ▁vaṇṇ aṃ ▁bhāsa ti
PA_pli-tv-bu-vb_pj3:1.1.3	Atha kho bhagavā bhikkhū āmantesi—	▁atha ▁kho ▁bhagavā ▁bhikkhū ▁āmantesi
PA_pli-tv-bu-vb_pj3:1.1.4	“icchāmahaṁ, bhikkhave, addhamāsaṁ paṭisallīyituṁ.	▁icch āma haṃ ▁bhikkhave ▁a ddh amā saṃ ▁paṭi sall ī y ituṃ
PA_pli-tv-bu-vb_pj3:1.1.5	Namhi kenaci upasaṅkamitabbo, aññatra ekena piṇḍapātanīhārakenā”ti.	▁na mhi ▁kenaci ▁ upasaṃkam itabbo ▁aññatra ▁ekena ▁piṇḍapāt an ī hār ak enāti
PA_pli-tv-bu-vb_pj3:1.1.6	“Evaṁ, bhante”ti, kho te bhikkhū bhagavato paṭissuṇitvā nāssudha koci bhagavantaṁ upasaṅkamati, aññatra ekena piṇḍapātanīhārakena.	▁evaṃ ▁bhanteti ▁kho ▁te ▁bhikkhū ▁bhagavato ▁paṭi ssu ṇ itvā ▁nā ssu dha ▁koci ▁bhagavantaṃ ▁ upasaṃkam ati ▁aññatra ▁ekena ▁piṇḍapāt an ī hār akena
PA_pli-tv-bu-vb_pj3:1.1.7	Bhikkhū—“bhagavā kho anekapariyāyena asubhakathaṁ katheti, asubhāya vaṇṇaṁ bhāsati, asubhabhāvanāya vaṇṇaṁ bhāsati, ādissa ādissa asubhasamāpattiyā vaṇṇaṁ bhāsatī”ti,	▁bhikkhū bha gav ā ▁kho ▁aneka pariyāy ena ▁asubh akathaṃ ▁kath eti ▁asubh āya ▁vaṇṇ aṃ ▁bhāsa ti ▁asubh a bhāvanā ya ▁vaṇṇ aṃ ▁bhāsa ti ▁ādi ssa ▁ādi ssa ▁asubh asamāpatti yā ▁vaṇṇ aṃ ▁bhāsa tīti
PA_pli-tv-bu-vb_pj3:1.1.8	te anekākāravokāraṁ asubhabhāvanānuyogamanuyuttā viharanti.	▁te ▁anek ākār a vo kār aṃ ▁asubh abhāv an ānuyog amanu yuttā ▁viharanti
PA_pli-tv-bu-vb_pj3:1.1.9	Te sakena kāyena aṭṭīyanti harāyanti jigucchanti.	▁te ▁sak ena ▁kāyena ▁a ṭṭ ī yanti ▁har ā yanti ▁ jigucch anti
PA_pli-tv-bu-vb_pj3:1.1.10	Seyyathāpi nāma itthī vā puriso vā daharo yuvā maṇḍanakajātiko sīsaṁnhāto ahikuṇapena vā kukkurakuṇapena vā manussakuṇapena vā kaṇṭhe āsattena aṭṭīyeyya harāyeyya jiguccheyya;	▁seyyathāpi ▁nāma ▁itthī ▁vā ▁puriso ▁vā ▁dahar o ▁yuv ā ▁ maṇḍ an aka jātik o ▁sīs aṃ n hā to ▁a hi ku ṇ ap ena ▁vā ▁ kukku ra ku ṇ ap ena ▁vā ▁manuss a ku ṇ ap ena ▁vā ▁ka ṇṭh e ▁ ā satt ena ▁a ṭṭ ī y eyya ▁har ā y eyya ▁ jigucch eyya
PA_pli-tv-bu-vb_pj3:1.1.11	evameva te bhikkhū sakena kāyena aṭṭīyantā harāyantā jigucchantā	▁evameva ▁te ▁bhikkhū ▁sak ena ▁kāyena ▁a ṭṭ ī yant ā ▁har ā yant ā ▁ jigucch antā
PA_pli-tv-bu-vb_pj3:1.1.12	attanāpi attānaṁ jīvitā voropenti, aññamaññampi jīvitā voropenti,	▁attanā pi ▁attānaṃ ▁jīvit ā ▁vo rop enti ▁aññamaññ ampi ▁jīvit ā ▁vo rop enti
PA_pli-tv-bu-vb_pj3:1.1.13	migalaṇḍikampi samaṇakuttakaṁ upasaṅkamitvā evaṁ vadanti—	▁mig a la ṇḍ i kampi ▁samaṇ a ku ttak aṃ ▁upasaṃkamitvā ▁evaṃ ▁vadanti
PA_pli-tv-bu-vb_pj3:1.1.14	“sādhu no, āvuso, jīvitā voropehi.	▁sādhu ▁no ▁āvuso ▁jīvit ā ▁vo rop ehi
PA_pli-tv-bu-vb_pj3:1.1.15	Idaṁ te pattacīvaraṁ bhavissatī”ti.	▁idaṃ ▁te ▁patt acīvar aṃ ▁bhavissatīti
PA_pli-tv-bu-vb_pj3:1.1.16	Atha kho migalaṇḍiko samaṇakuttako pattacīvarehi bhaṭo sambahule bhikkhū jīvitā voropetvā lohitakaṁ asiṁ ādāya yena vaggumudā nadī tenupasaṅkami.	▁atha ▁kho ▁mig a la ṇḍ iko ▁samaṇ a ku ttak o ▁patt acīvar ehi ▁bha ṭ o ▁sam bahul e ▁bhikkhū ▁jīvit ā ▁vo rop etvā ▁lohita kaṃ ▁as iṃ ▁ādāya ▁yena ▁ vagg u mud ā ▁nadī ▁tenupasaṃkami
PA_pli-tv-bu-vb_pj3:1.1.17	Atha kho migalaṇḍikassa samaṇakuttakassa lohitakaṁ taṁ asiṁ dhovantassa ahudeva kukkuccaṁ ahu vippaṭisāro—	▁atha ▁kho ▁mig a la ṇḍ ika ssa ▁samaṇ a ku ttak assa ▁lohita kaṃ ▁taṃ ▁as iṃ ▁dhov antassa ▁ahu deva ▁ kukku cc aṃ ▁ahu ▁vippaṭisār o
PA_pli-tv-bu-vb_pj3:1.1.18	“alābhā vata me, na vata me lābhā; dulladdhaṁ vata me, na vata me suladdhaṁ.	▁ alābh ā ▁vata ▁me ▁na ▁vata ▁me ▁lābh ā ▁du l laddh aṃ ▁vata ▁me ▁na ▁vata ▁me ▁su laddh aṃ
PA_pli-tv-bu-vb_pj3:1.1.19	Bahuṁ vata mayā apuññaṁ pasutaṁ, yohaṁ bhikkhū sīlavante kalyāṇadhamme jīvitā voropesin”ti.	▁bahu ṃ ▁vata ▁mayā ▁a puññ aṃ ▁pa su taṃ ▁yo haṃ ▁bhikkhū ▁sīl avant e ▁kalyāṇ adhamm e ▁jīvit ā ▁vo rop esi nti
PA_pli-tv-bu-vb_pj3:1.1.20	Atha kho aññatarā mārakāyikā devatā abhijjamāne udake āgantvā migalaṇḍikaṁ samaṇakuttakaṁ etadavoca—	▁atha ▁kho ▁aññatar ā ▁mār akāy ikā ▁devatā ▁abhi jj amān e ▁udak e ▁āgantvā ▁mig a la ṇḍ ikaṃ ▁samaṇ a ku ttak aṃ ▁etadavoca
PA_pli-tv-bu-vb_pj3:1.1.21	“sādhu sādhu, sappurisa, lābhā te, sappurisa, suladdhaṁ te, sappurisa.	▁sādhu ▁sādhu ▁sappuris a ▁lābh ā ▁te ▁sappuris a ▁su laddh aṃ ▁te ▁sappuris a
PA_pli-tv-bu-vb_pj3:1.1.22	Bahuṁ tayā, sappurisa, puññaṁ pasutaṁ, yaṁ tvaṁ atiṇṇe tāresī”ti.	▁bahu ṃ ▁tayā ▁sappuris a ▁puññ aṃ ▁pa su taṃ ▁yaṃ ▁tvaṃ ▁ati ṇ ṇ e ▁tā re sīti
