segmentnr	original	analyzed
PA_pli-tv-bu-vb_pc69:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bu-vb_pc69:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_pli-tv-bu-vb_pc69:0.3	Pācittiyakaṇḍa	▁pācittiy akaṇḍ a
PA_pli-tv-bu-vb_pc69:0.4	Sappāṇakavagga	▁sapp ā ṇ ak avagga
PA_pli-tv-bu-vb_pc69:0.5	69. Ukkhittasambhogasikkhāpada	▁ukkhitt asam bhog asikkhāpad a
PA_pli-tv-bu-vb_pc69:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_pli-tv-bu-vb_pc69:1.2_0	Tena kho pana samayena chabbaggiyā bhikkhū jānaṁ tathāvādinā ariṭṭhena bhikkhunā	▁tena ▁kho ▁pana ▁samayena ▁chabbaggiyā ▁bhikkhū ▁jān aṃ ▁tathā v ādinā ▁a ri ṭṭh ena ▁bhikkhunā
PA_pli-tv-bu-vb_pc69:1.2_1	akaṭānudhammena taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ sambhuñjantipi saṁvasantipi	▁a kaṭ ānu dhamm ena ▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ ▁sam bhuñj anti pi ▁saṃ va santi pi
PA_pli-tv-bu-vb_pc69:1.2_2	sahāpi seyyaṁ kappenti.	▁sah āpi ▁seyy aṃ ▁kapp enti
PA_pli-tv-bu-vb_pc69:1.3	Ye te bhikkhū appicchā …pe… te ujjhāyanti khiyyanti vipācenti—	▁ye ▁te ▁bhikkhū ▁appicch ā ▁pe ▁te ▁ujjhāy anti ▁khiyyanti ▁vi pā c enti
PA_pli-tv-bu-vb_pc69:1.4_0	“kathañhi nāma chabbaggiyā bhikkhū jānaṁ tathāvādinā ariṭṭhena bhikkhunā akaṭānudhammena	▁kathañhi ▁nāma ▁chabbaggiyā ▁bhikkhū ▁jān aṃ ▁tathā v ādinā ▁a ri ṭṭh ena ▁bhikkhunā ▁a kaṭ ānu dhamm ena
PA_pli-tv-bu-vb_pc69:1.4_1	taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ sambhuñjissantipi saṁvasissantipi sahāpi seyyaṁ kappessantī”ti …pe…	▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ ▁sam bhuñj issanti pi ▁saṃ va s issanti pi ▁sah āpi ▁seyy aṃ ▁kappe s s antīti ▁pe
PA_pli-tv-bu-vb_pc69:1.5	“saccaṁ kira tumhe, bhikkhave, jānaṁ tathāvādinā ariṭṭhena bhikkhunā akaṭānudhammena taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ sambhuñjathāpi saṁvasathāpi sahāpi seyyaṁ kappethā”ti?	▁saccaṃ ▁kira ▁tumhe ▁bhikkhave ▁jān aṃ ▁tathā v ādinā ▁a ri ṭṭh ena ▁bhikkhunā ▁a kaṭ ānu dhamm ena ▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ ▁sam bhuñj a thā pi ▁saṃ va sa thā pi ▁sah āpi ▁seyy aṃ ▁kappe thāti
PA_pli-tv-bu-vb_pc69:1.6	“Saccaṁ, bhagavā”ti.	▁saccaṃ ▁bhagavā ti
PA_pli-tv-bu-vb_pc69:1.7	Vigarahi buddho bhagavā …pe…	▁vi ga ra hi ▁buddho ▁bhagavā ▁pe
PA_pli-tv-bu-vb_pc69:1.8_0	kathañhi nāma tumhe, moghapurisā, jānaṁ tathāvādinā ariṭṭhena bhikkhunā akaṭānudhammena	▁kathañhi ▁nāma ▁tumhe ▁mogh apuris ā ▁jān aṃ ▁tathā v ādinā ▁a ri ṭṭh ena ▁bhikkhunā ▁a kaṭ ānu dhamm ena
PA_pli-tv-bu-vb_pc69:1.8_1	taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ sambhuñjissathāpi saṁvasissathāpi sahāpi seyyaṁ kappessatha.	▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ ▁sam bhuñj issa thā pi ▁saṃ va si ssa thā pi ▁sah āpi ▁seyy aṃ ▁kappe ssa tha
PA_pli-tv-bu-vb_pc69:1.9	Netaṁ, moghapurisā, appasannānaṁ vā pasādāya …pe…	▁netaṃ ▁mogh apuris ā ▁appa sann ānaṃ ▁vā ▁pasād āya ▁pe
PA_pli-tv-bu-vb_pc69:1.10	evañca pana, bhikkhave, imaṁ sikkhāpadaṁ uddiseyyātha—	▁evañca ▁pana ▁bhikkhave ▁imaṃ ▁sikkhāpadaṃ ▁uddis eyyātha
PA_pli-tv-bu-vb_pc69:1.11.1	“Yo pana bhikkhu jānaṁ tathāvādinā bhikkhunā akaṭānudhammena taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ sambhuñjeyya vā saṁvaseyya vā saha vā seyyaṁ kappeyya, pācittiyan”ti.	▁yo ▁pana ▁bhikkhu ▁jān aṃ ▁tathā v ādinā ▁bhikkhunā ▁a kaṭ ānu dhamm ena ▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ ▁sam bhuñj eyya ▁vā ▁saṃ va s eyya ▁vā ▁saha ▁vā ▁seyy aṃ ▁kapp eyya ▁pācittiy anti
PA_pli-tv-bu-vb_pc69:2.1.1	Yo panāti	▁yo ▁panā ti
PA_pli-tv-bu-vb_pc69:2.1.2	yo yādiso …pe…	▁yo ▁yā dis o ▁pe
PA_pli-tv-bu-vb_pc69:2.1.3	bhikkhūti	▁bhikkhū ti
PA_pli-tv-bu-vb_pc69:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippeto bhikkhūti.	▁pe ▁ayaṃ ▁imasmiṃ ▁atthe ▁adhippeto ▁bhikkhū ti
PA_pli-tv-bu-vb_pc69:2.1.5	Jānāti nāma	▁jānāti ▁nāma
PA_pli-tv-bu-vb_pc69:2.1.6	sāmaṁ vā jānāti, aññe vā tassa ārocenti, so vā āroceti.	▁sām aṃ ▁vā ▁jānāti ▁aññe ▁vā ▁tassa ▁āroc enti ▁so ▁vā ▁āroc eti
PA_pli-tv-bu-vb_pc69:2.1.7	Tathāvādināti—	▁tathā v ādinā ti
PA_pli-tv-bu-vb_pc69:2.1.8	“tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi, yathā yeme antarāyikā dhammā vuttā bhagavatā, te paṭisevato nālaṁ antarāyāyā”ti evaṁ vādinā.	▁tathā haṃ ▁bhagavatā ▁dhammaṃ ▁desit aṃ ▁ ā jān āmi ▁yathā ▁ye me ▁ antarāy ikā ▁dhammā ▁vuttā ▁bhagavatā ▁te ▁paṭisev ato ▁nā laṃ ▁ antarāy āyāti ▁evaṃ ▁v ādinā
PA_pli-tv-bu-vb_pc69:2.1.9	Akaṭānudhammo nāma	▁a kaṭ ānu dhamm o ▁nāma
PA_pli-tv-bu-vb_pc69:2.1.10	ukkhitto anosārito.	▁ukkhitt o ▁an o sār ito
PA_pli-tv-bu-vb_pc69:2.1.11	Taṁ diṭṭhiṁ appaṭinissaṭṭhena saddhinti	▁taṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddh i nti
PA_pli-tv-bu-vb_pc69:2.1.12	etaṁ diṭṭhiṁ appaṭinissaṭṭhena saddhiṁ.	▁etaṃ ▁diṭṭhi ṃ ▁appaṭi niss aṭṭhena ▁saddhiṃ
PA_pli-tv-bu-vb_pc69:2.1.13	Sambhuñjeyya vāti	▁sam bhuñj eyya ▁vāti
PA_pli-tv-bu-vb_pc69:2.1.14	sambhogo nāma dve sambhogā— āmisasambhogo ca dhammasambhogo ca.	▁sam bhog o ▁nāma ▁dve ▁sam bhog ā ▁āmis asam bhog o ▁ca ▁dhamma sam bhog o ▁ca
