segmentnr	original	analyzed
PA_pli-tv-bu-vb_np14:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bu-vb_np14:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_pli-tv-bu-vb_np14:0.3	Nissaggiyakaṇḍa	▁nissaggiy akaṇḍ a
PA_pli-tv-bu-vb_np14:0.4	Kosiyavagga	▁ko si y avagga
PA_pli-tv-bu-vb_np14:0.5	14. Chabbassasikkhāpada	▁cha bb assa sikkhāpada
PA_pli-tv-bu-vb_np14:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_pli-tv-bu-vb_np14:1.2	Tena kho pana samayena bhikkhū anuvassaṁ santhataṁ kārāpenti.	▁tena ▁kho ▁pana ▁samayena ▁bhikkhū ▁anu vass aṃ ▁ santhat aṃ ▁kārāp enti
PA_pli-tv-bu-vb_np14:1.3	Te yācanabahulā viññattibahulā viharanti—	▁te ▁yāc ana bahul ā ▁viññatti bahul ā ▁viharanti
PA_pli-tv-bu-vb_np14:1.4	“eḷakalomāni detha.	▁ e ḷ aka lom āni ▁d etha
PA_pli-tv-bu-vb_np14:1.5	Eḷakalomehi attho”ti.	▁ e ḷ aka lom ehi ▁attho ti
PA_pli-tv-bu-vb_np14:1.6	Manussā ujjhāyanti khiyyanti vipācenti—	▁manussā ▁ujjhāy anti ▁khiyyanti ▁vi pā c enti
PA_pli-tv-bu-vb_np14:1.7	“kathañhi nāma samaṇā sakyaputtiyā anuvassaṁ santhataṁ kārāpessanti, yācanabahulā viññattibahulā viharissanti—	▁kathañhi ▁nāma ▁samaṇ ā ▁sakyaputt iyā ▁anu vass aṃ ▁ santhat aṃ ▁kārāp essanti ▁yāc ana bahul ā ▁viññatti bahul ā ▁vi har issanti
